央视,#genre#
深圳卫视,http://61.173.95.181:4022/udp/239.45.3.231:5140#http://101.83.74.79:8686/udp/239.45.3.231:5140#http://114.254.209.157:8888/rtp/239.3.1.134:8020#http://123.116.202.123:4022/rtp/239.3.1.134:8020#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226510/index.m3u8
黑龙江卫视,http://61.173.95.181:4022/udp/239.45.3.232:5140#http://101.83.74.79:8686/udp/239.45.3.232:5140#http://114.254.209.157:8888/rtp/239.3.1.133:8016#http://123.116.202.123:4022/rtp/239.3.1.133:8016
山东卫视,http://61.173.95.181:4022/udp/239.45.3.238:5140#http://101.83.74.79:8686/udp/239.45.3.238:5140#http://114.254.209.157:8888/rtp/239.3.1.209:8052#http://123.116.202.123:4022/rtp/239.3.1.209:8052#http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225952/index.m3u8
湖北卫视,http://61.173.95.181:4022/udp/239.45.3.239:5140#http://101.83.74.79:8686/udp/239.45.3.239:5140#http://114.254.209.157:8888/rtp/239.3.1.138:8044#http://123.116.202.123:4022/rtp/239.3.1.138:8044#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226477/index.m3u8
安徽卫视,http://61.173.95.181:4022/udp/239.45.1.120:5140#http://101.83.74.79:8686/udp/239.45.1.120:5140#http://114.254.209.157:8888/rtp/239.3.1.211:8064#http://123.116.202.123:4022/rtp/239.3.1.211:8064#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226391/index.m3u8#http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
东南卫视,http://61.173.95.181:4022/udp/239.45.1.121:5140#http://101.83.74.79:8686/udp/239.45.1.121:5140#http://114.254.209.157:8888/rtp/239.3.1.156:8148#http://123.116.202.123:4022/rtp/239.3.1.156:8148#http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
江西卫视,http://61.173.95.181:4022/udp/239.45.1.122:5140#http://101.83.74.79:8686/udp/239.45.1.122:5140#http://114.254.209.157:8888/rtp/239.3.1.123:8164#http://123.116.202.123:4022/rtp/239.3.1.123:8164#http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226504/index.m3u8#http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225935/index.m3u8
辽宁卫视,http://61.173.95.181:4022/udp/239.45.1.123:5140#http://101.83.74.79:8686/udp/239.45.1.123:5140#http://114.254.209.157:8888/rtp/239.3.1.210:8056#http://123.116.202.123:4022/rtp/239.3.1.210:8056#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226254/index.m3u8
天津卫视,http://61.173.95.181:4022/udp/239.45.1.124:5140#http://101.83.74.79:8686/udp/239.45.1.124:5140#http://114.254.209.157:8888/rtp/239.3.1.141:1234#http://123.116.202.123:4022/rtp/239.3.1.141:1234
四川卫视,http://61.173.95.181:4022/udp/239.45.1.83:5140#http://101.83.74.79:8686/udp/239.45.1.83:5140#http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
重庆卫视,http://61.173.95.181:4022/udp/239.45.1.84:5140#http://101.83.74.79:8686/udp/239.45.1.84:5140#http://114.254.209.157:8888/rtp/239.3.1.122:8160#http://123.116.202.123:4022/rtp/239.3.1.122:8160
贵州卫视,http://61.173.95.181:4022/udp/239.45.1.80:5140#http://101.83.74.79:8686/udp/239.45.1.80:5140#http://114.254.209.157:8888/rtp/239.3.1.149:8076#http://123.116.202.123:4022/rtp/239.3.1.149:8076#http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226474/index.m3u8
海南卫视,http://61.173.95.181:4022/udp/239.45.1.81:5140#http://101.83.74.79:8686/udp/239.45.1.81:5140#http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8#http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
河北卫视,http://61.173.95.181:4022/udp/239.45.1.81:5140#http://101.83.74.79:8686/udp/239.45.1.44:5140#http://114.254.209.157:8888/rtp/239.3.1.148:8072#http://123.116.202.123:4022/rtp/239.3.1.148:8072#http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226406/index.m3u8#http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225991/index.m3u8#http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
宁夏卫视,http://61.173.95.181:4022/udp/239.45.1.213:5140#http://101.83.74.79:8686/udp/239.45.1.213:5140#http://[2409:8087:1a0b:df::4004]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
